gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
998668101	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633767	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.5	1.5	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633767				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.426Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668093	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633776	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.87	2.34	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633776				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.134Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668088	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633777	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.69	2.58	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633777				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.524Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668082	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633771	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.32	1.75	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633771				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.371Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668081	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633765	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.41	1.38	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633765				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.530Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668080	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633768	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.32	1.63	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633768				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.331Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668079	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633757	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	40.74	-0.02	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633757				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.135Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668074	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633743	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.68	-1.74	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633743				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.065Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668072	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633770	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.5	1.62	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633770				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.589Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668068	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633779	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.69	2.7	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633779				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.391Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
