"species"	"x"	"y"
"Vaspis"	2.7	42.05
"Vaspis"	2.09	42.31
"Vaspis"	2.7	41.87
"Vaspis"	1.97	42.49
"Vaspis"	2.09	42.13
"Vaspis"	3.06	42.5
"Vaspis"	2.94	42.5
"Vaspis"	2.09	42.22
"Vaspis"	-0.25	42.73
"Vaspis"	2.22	41.68
"Vaspis"	2.21	42.4
"Vaspis"	2.34	41.78
"Vaspis"	2.21	42.04
"Vaspis"	1.97	42.22
"Vaspis"	2.7	42.23
"Vaspis"	2.94	42.41
"Vaspis"	2.1	41.77
"Vaspis"	2.7	42.41
"Vaspis"	3.06	42.41
"Vaspis"	2.09	42.04
"Vaspis"	2.58	42.32
"Vaspis"	1.11	42.75
"Vaspis"	2.34	42.05
"Vaspis"	2.82	42.5
"Vaspis"	2.7	41.69
"Vaspis"	2.21	42.31
"Vaspis"	1.97	42.4
"Vaspis"	2.34	41.69
"Vaspis"	1.85	42.13
"Vaspis"	2.22	41.59
"Vaspis"	-0.26	42.64
"Vaspis"	2.22	41.95
"Vaspis"	2.82	42.41
"Vaspis"	1.97	42.13
"Vaspis"	1.97	42.04
"Vaspis"	2.21	42.22
"Vaspis"	2.1	41.95
"Vaspis"	2.7	42.14
"Vaspis"	2.22	41.86
"Vaspis"	-0.5	42.74
"Vaspis"	2.1	41.59
"Vaspis"	1.85	42.31
"Vaspis"	2.7	42.32
"Vaspis"	1.23	42.57
"Vaspis"	-3.18	43.22
"Vaspis"	2.33	42.14
"Vaspis"	0.14	42.55
"Vaspis"	2.34	41.96
"Vaspis"	1.97	42.31
"Vaspis"	2.7	41.6
"Vaspis"	1.85	42.4
"Vaspis"	1.23	42.66
"Vaspis"	-0.01	42.64
"Vaspis"	2.21	42.13
"Vaspis"	-0.26	42.55
"Vaspis"	-2.33	42.59
"Vaspis"	-1.23	42.84
"Vaspis"	1.11	42.48
"Vaspis"	2.1	41.86
"Vaspis"	2.46	41.51
"Vaspis"	2.22	41.77
"Vaspis"	-1.11	42.75
"Vaspis"	-0.5	42.65
"Vaspis"	1.36	42.58
"Vaspis"	1.85	42.22
"Vaspis"	1.24	42.48
"Vaspis"	-3.18	43.04
"Vaspis"	-2.69	42.77
"Vaspis"	0.01	42.73
"Vaspis"	-0.27	42.28
"Vaspis"	0.13	42.64
"Vaspis"	-2.46	42.05
"Vaspis"	-2.58	42.23
"Vaspis"	2.34	41.87
"Vaspis"	-0.37	42.83
"Vaspis"	1.72	42.49
"Vaspis"	-0.13	42.73
"Vaspis"	1.11	42.66
"Vaspis"	-2.7	42.32
"Vaspis"	-3.31	43.04
"Vaspis"	-2.45	42.77
